Equity,PE,PB,PEG,Free_CASH,SI_INT,DIV_PAY,QUICK_RATIO,ALT_SCORE,MKT_TO_BOOK,DEBT_TO_EBITBA,M3_LOW_VOL
BCR,22.1745,9.1882,1.294,5.1665,1.35,13.2754,1.106,4.6299,9.2118,1.3486,FALSE
POL,13.3078,3.0198,1.179,6.2933,3.77,332.129,1.2584,3.3572,3.0547,3.2854,TRUE
MTX,9.924,1.6542,0.662,12.2347,2.68,10.2959,1.8227,2.3648,1.6525,4.2361,FALSE
BAX,14.042,2.2405,2.289,1.3194,2.02,33.1079,1.5812,2.3263,2.2379,3.3436,FALSE
TPX,31.0239,11.521,0.764,5.0325,3.14,,0.748,4.3535,11.4907,3.8234,FALSE
HE,18.3036,1.6546,3.432,-0.2268,7.11,78.7169,0.2445,0.1036,1.6545,3.8951,TRUE
BDX,20.7958,3.9396,1.342,4.5461,2.84,61.0108,0.6858,2.7314,3.9396,6.0448,FALSE
MTH,9.4951,0.9245,1.479,-1.1545,5.43,0,0.8631,3.0889,0.9244,5.1042,FALSE
BMS,19.0657,3.8224,2.455,7.1089,4.88,47.1268,0.8666,4.0158,3.8575,2.4472,FALSE
HMN,14.0807,0.9238,0,17.183,3.85,49.2464,,,0.9269,,TRUE
BRK/B,0,0,3.3,0,2.82,0,1.706,2.3394,0,1.8229,FALSE
UBA,19.5949,2.156,0,3.327,6.23,37.292,,,2.1069,4.4546,FALSE
BBY,10.69,2.0648,0.898,7.1179,5.02,310.1564,0.5251,4.4215,2.1856,4.4901,FALSE
HUBB,16.2928,2.9892,1.811,4.8924,2.01,16.5618,0.6416,4.7006,2.9872,0.8533,FALSE
KSU,17.4424,2.181,1.501,0.9048,3.21,25.7085,0.4072,2.2553,2.1818,2.2061,FALSE
HRB,23.3168,0,1.548,2.0106,3.07,,0.8076,5.6269,-15.0256,1.656,FALSE
IDA,18.2025,1.7241,0,1.6718,2.66,81.1443,1.7324,3.5409,1.7241,3.0386,TRUE
IT,35.3828,0,2.019,4.4602,5,0,0.7206,3.0891,-50.6527,2.4617,FALSE
BSX,27.7037,3.5946,1.528,1.5472,2.05,,0.656,-0.0434,3.5907,12.8439,FALSE
IEX,19.9295,3.7899,1.311,5.7542,5.86,35.9894,1.8993,7.2005,3.7891,1.6491,FALSE
BMY,28.6205,7.1047,1.188,0.9955,2.87,,0.9003,5.8037,7.1359,2.9519,TRUE
INT,13.26,1.3451,3.715,9.1201,3.26,8.0502,1.3587,10.1913,1.3449,2.4838,FALSE
