Equity,PE,PB,PEG,Free_CASH,SI_INT,DIV_PAY,QUICK_RATIO,ALT_SCORE,MKT_TO_BOOK,DEBT_TO_EBITBA,M3_LOW_VOL
CASY,19.9768,4.2048,1.914,1.4346,4.33,10.8569,0.2441,5.4462,4.2001,1.5411,FALSE
MAS,24.0746,0,1.234,6.3733,2.03,22.5399,0.2154,3.2399,-63.2817,3.2507,FALSE
CATY,13.7286,1.2631,1.658,7.871,5.42,35.1703,,,1.2662,,FALSE
MAT,23.3778,4.0211,2.483,4.5192,3.72,59.7861,1.2384,3.6314,4.017,2.6252,FALSE
WLTW,16.3471,3.4057,1.436,1.2834,2.29,,0.1398,0.7271,6.8547,5.4615,FALSE
CBM,17.2219,3.8415,1.077,1.8103,3.83,0,1.0392,7.0452,3.8415,0.2654,TRUE
MHFI,18.6064,114.2684,1.414,0.3061,2.05,35.7278,0.8521,5.1809,116.4659,1.7411,FALSE
CBU,15.551,1.3731,0,7.055,12.87,67.6369,,,1.3639,,FALSE
MDT,26.4389,2.0149,2.078,4.6969,2.56,103.2504,2.741,5.0066,2.0222,5.6162,FALSE
CDR,86.7459,1.4642,0,8.3402,5.42,48.8135,2.7207,,1.4642,7.9219,TRUE
CVS,18.6445,2.6791,1.098,5.9884,2.5,25.8472,0.623,5.9888,2.673,2.3787,FALSE
MU,5.5933,0.8789,0,3.6362,2.34,0,1.3863,2.3475,0.8388,1.5037,FALSE
CGNX,25.8876,3.1767,1.77,3.7783,8.96,31.5026,7.2452,26.8197,3.1763,0,TRUE
MSI,19.4955,0,1.712,7.0066,4.55,21.4679,1.5239,1.6369,-103.6717,3.8408,FALSE
CHCO,14.1334,1.571,0,6.8272,14.89,47.7174,,2.3129,1.5835,,FALSE
MUR,0,0.579,0,-43.3312,3.54,,0.5313,0.1927,0.579,,FALSE
CKP,21.249,0.9186,0.788,7.5723,7.22,,1.3574,1.5846,0.9224,7.2863,FALSE
MYL,18.7541,2.5495,1.054,6.7659,5.11,0,0.9522,3.4202,2.5553,2.9578,TRUE
CLH,28.1505,2.2522,2.031,5.5634,5.75,0,1.3164,2.5905,2.252,3.0382,FALSE
LH,16.6015,2.1006,1.018,6.8999,2.93,0,1.1368,4.5121,2.0985,4.3937,FALSE
THC,16.2873,3.4509,0.543,7.567,6.21,,0.7103,1.2427,3.492,7.8305,FALSE
CMTL,17.9266,0.7491,0,16.9849,3.81,337.13,3.7914,5.9193,0.7486,0,FALSE
NWL,17.0149,5.0233,1.759,3.8651,6.83,196.1147,3.6224,4.0814,5.0214,0,TRUE
CNMD,21.7464,1.7315,1.475,3.271,5.86,70.5731,1.7238,4.3226,1.7312,2.849,FALSE
NEM,24.8768,1.134,0,5.9901,0.96,,2.2924,1.2183,1.1328,2.5962,FALSE
CMN,43.4359,5.6585,1.742,2.2217,4.18,17.3775,1.3993,10.6517,5.6587,1.3398,TRUE
FOXA,14.9234,3.2136,0.863,5.4438,1.84,0,1.4767,3.0006,3.1957,1.1451,TRUE
COHU,91.4588,1.2749,1.639,4.9393,8.59,68.7537,2.7987,4.4023,1.2685,0,FALSE
NKE,27.0949,7.0903,1.678,3.5432,1.22,34.7822,1.7334,10.4368,7.0743,0.4285,FALSE
COLB,15.2338,1.2966,1.595,6.1469,6.5,28.5272,,,1.2967,,FALSE
NI,17.6131,1.7635,0,-15.591,2.17,153.4596,0.2654,0.5478,1.761,4.4871,TRUE
BH,5.793,1.5101,0,4.1284,9.88,,,,1.5101,,FALSE
NBL,59.4496,1.1599,0,-8.7797,2.71,,0.8188,0.8277,1.15,14.1707,FALSE
NSC,13.8049,1.745,2.665,2.2608,1.37,48.6873,0.9175,1.6817,1.7474,2.5597,FALSE
CRUS,17.2728,2.3659,0.646,8.5606,3.26,0,1.9983,5.503,2.3659,0.656,TRUE
ES,19.4078,1.6757,2.742,-1.7278,2.62,72.902,0.3352,1.1021,1.6757,4.1574,FALSE
CRVL,30.7941,6.4124,0,3.3544,4.37,0,1.1166,9.6552,6.4023,0,FALSE
NOC,18.6132,6.1503,2.652,5.0286,1.69,31.7734,0.9456,4.6266,6.138,1.8109,FALSE
WFC,11.2198,1.3862,1.193,7.6074,1.09,36.8441,,,1.3904,,FALSE
ASNA,9.8606,0.7038,0.399,4.0387,8.43,,0.3174,2.2353,0.711,,TRUE
NUE,22.4541,1.6681,1.749,14.2945,2.61,,0.3094,2.3371,1.6767,2.7969,FALSE
DGII,28.5717,0.7474,1.08,4.1382,3.3,0,6.9556,8.2048,0.7493,0,TRUE
OXY,271.5473,2.0446,0,-4.056,2.31,,0.9019,1.7804,2.0456,,FALSE
DIOD,24.3024,1.0897,0.557,-1.7121,9.82,0,2.792,2.6524,1.0997,3.5844,FALSE
OMC,16.2404,7.0002,2.611,11.3486,6.58,36.9479,0.692,2.1701,6.997,2.0933,FALSE
OKE,14.1177,12.885,1.867,-4.1944,3.08,469.9111,0.4222,0.875,12.8571,6.6484,FALSE
DW,17.2664,3.0248,0.877,4.9769,4.45,297.3978,0.5443,10.2336,2.999,0.3167,FALSE
OI,7.7537,4.6769,0.688,9.6038,2.64,,0.4529,0.9244,4.6733,5.6236,FALSE
WEN,19.8999,3.5119,4.883,-0.686,4.3,18.4905,1.6076,0.6339,3.5269,5.482,TRUE
PCG,17.9109,1.6599,2.906,-5.6781,1.42,167.9104,0.6409,0.7887,1.6546,4.1769,FALSE
EGP,33.8581,2.928,7.553,-1.224,6.62,168.7398,,,2.9279,6.7754,FALSE
PH,15.3081,2.8074,1.966,6.7658,3.16,46.8461,1.5126,4.3347,2.8074,2.0486,FALSE
PPL,15.3837,2.4545,3.246,-3.9429,2.06,62.7329,0.5214,0.9216,2.4508,5.0542,TRUE
ESIO,0,1.2653,1.761,-3.6551,2.96,,2.2089,2.8118,1.2489,,FALSE
JCP,0,1.7281,0,5.2417,9.2,,0.2254,1.1554,1.7276,9.9867,FALSE
PEP,21.2393,11.9769,3.477,5.4327,2.25,60.4665,0.3731,4.0635,12.0501,10.8977,FALSE
EZPW,0,0.2104,0,-56.9472,8,,1.2579,2.4538,0.215,13.4802,FALSE
EXC,12.8334,1.1393,1.985,-0.8073,2.31,94.1176,1.1851,0.8877,1.1387,3.1355,FALSE
EXPO,29.7429,4.6428,2.104,4.3714,3.87,39.2589,2.9072,8.7767,4.6477,0,TRUE
COP,0,1.0438,0,-5.9436,1.57,,0.7219,0.5629,1.0427,12.0718,FALSE
MNTA,0,2.022,0,-11.4703,8.64,,9.5258,11.034,2.0197,,FALSE
FNB,13.7822,1.0115,0,10.0364,2.57,57.2036,,,1.0093,,TRUE
PHM,11.689,1.1738,0.846,-6.9147,2.87,13.8534,0.4065,2.739,1.1738,2.6747,FALSE
FMER,14.2974,1.1241,0,8.6593,2.13,51.2284,,,1.1241,,FALSE
PNW,17.5141,1.658,3.547,0.0116,2.12,168.9523,0.2824,0.9877,1.656,2.6783,FALSE
FELE,18.7295,2.2691,1.387,5.6719,8.3,27.3288,1.4434,4.4987,2.276,1.7566,FALSE
PBI,9.541,18.2778,0.633,10.4699,4.89,45.9436,0.9478,1.6608,18.4208,3.5726,FALSE
FFBC,12.5562,1.2155,0,8.6314,2.6,49.6367,,,1.2156,,FALSE
PCL,33.2987,4.3467,2.014,5.8722,1.7,226.4706,0.1791,1.3609,4.3442,8.0541,FALSE
FBP,40.2206,0.2971,0,51.5195,3.66,0,,,0.297,,FALSE
CGI,14.0446,0.6925,0,-27.6274,6.77,8.3084,0.6911,1.7049,0.6925,3.4191,TRUE
PNC,11.4937,1.0041,1.437,13.0705,1.71,26.8533,,,1.0117,,FALSE
FICO,29.933,6.7906,1.213,5.2076,6.07,3.2327,0.9453,3.2603,6.7918,3.5035,TRUE
PPG,15.896,4.8732,1.732,5.5404,1.74,30.8637,0.8308,3.8735,4.9169,1.7865,FALSE
FINL,14.1751,1.42,1.558,6.7212,4.54,107.8122,0.2903,4.9473,1.42,0,FALSE
PX,18.1134,6.7387,1.697,3.8351,3.69,48.3412,0.9234,2.6491,6.7379,2.6936,FALSE
SPN,0,0.6237,0,16.5815,3.06,,2.2126,-0.4729,0.6232,,FALSE
FMBI,14.3306,1.1119,0,11.6858,4.32,43.4624,,,1.1129,,FALSE
PGR,15.2263,2.4723,1.686,11.9466,2.49,157.3974,,,2.4763,,TRUE
FRED,0,1.1812,3.743,0,18.73,155.0474,0.1906,5.0399,1.1826,0.6297,TRUE
PEG,14.3534,1.6412,3.967,0.2571,3.91,63.754,0.4641,1.322,1.6411,1.5076,FALSE
FUL,17.9193,2.072,0,8.076,4.73,26.0838,1.3844,3.9051,2.072,2.9979,FALSE
RTN,22.0998,3.7313,2.342,5.094,1.28,34.33,0.5224,4.9806,3.7575,1.522,FALSE
FULT,14.1644,1.057,2.59,6.8969,4.49,40.5704,,,1.056,,TRUE
RHI,14.2082,4.9939,1.004,7.2114,1.02,27.8613,1.4175,10.5881,5.0522,0.0018,FALSE
GBCI,14.9318,1.6409,1.399,8.7379,7.63,126.0262,,,1.6409,,FALSE
RDC,3.4095,0.312,0,18.1886,4.72,10.1125,2.6772,1.3709,0.312,3.8474,FALSE
GVA,28.8827,1.732,0,1.5622,7.29,17.8603,1.3276,4.13,1.7307,1.4896,FALSE
R,11.9269,1.498,1.191,-41.6738,2.13,28.8944,0.5335,1.0793,1.4962,3.0327,FALSE
GK,20.6118,3.2037,1.327,3.9472,4.86,39.93,0.8547,4.6216,3.2023,1.8355,FALSE
GNCMA,45.7661,7.493,0,10.0184,4.81,,1.2975,1.3471,7.5573,4.9187,TRUE
SCG,17.1537,1.7151,3.004,-1.0077,5.15,79.4699,0.3489,1.1687,1.7141,3.7915,TRUE
GNTX,12.4686,2.2867,1.118,6.3878,6.95,28.0261,5.7407,10.3426,2.2882,0.4322,FALSE
EIX,15.6151,1.8171,2.97,3.1836,1.66,,0.3038,0.8673,1.8171,2.9773,FALSE
HVT,15.1003,1.3122,0,6.24,9.21,24.1303,0.9507,4.5971,1.3157,0.7246,FALSE
SLB,20.8824,2.3898,4.111,7.4477,4.53,,1.5448,3.5779,2.3876,2.6884,FALSE
HBHC,13.9627,0.7322,1.359,11.6747,9.47,121.582,,,0.7313,,FALSE
SCHW,23.2137,2.5859,0.817,3.1734,1.72,21.164,,,2.5785,2.0789,FALSE
SHW,22.1957,26.8297,1.333,5.2272,2.32,31.6394,0.6163,6.3509,27.0781,1.082,FALSE
HCSG,41.2966,8.2007,1.995,2.4061,15.43,142.7305,3.3055,13.3895,8.1931,0,FALSE
SJM,29.4904,2.0807,1.784,7.3148,4.02,45.3618,0.6572,4.1628,2.0805,4.636,FALSE
HELE,18.9776,2.5402,1.088,6.9433,5.37,43.0882,1.0549,6.5921,2.5404,3.8504,FALSE
SNA,16.763,3.2689,4.436,5.2758,1.92,26.9406,1.6444,5.4116,3.2667,1.0387,FALSE
HGR,0,,,,,,,,0,,TRUE
SO,17.071,2.1781,3.787,-2.8827,3.25,182.3681,0.3623,0.9935,2.1717,4.304,FALSE
BBT,11.4669,1.0011,0.987,11.9838,3.07,37.3033,,,1.0009,,FALSE
HMSY,37.0072,1.7192,0.951,6.5946,10.33,0,3.5521,4.5776,1.7605,2.0148,FALSE
LUV,10.0055,3.1025,0.545,5.0457,2.9,7.2537,0.476,3.0398,3.0568,0.6888,TRUE
GPI,7.6219,1.3584,0.44,1.4569,2.66,,0.0631,4.1858,1.3746,8.53,FALSE
SWN,60.8851,5.8619,0,-25.2288,5.04,,0.4837,-2.1145,5.7775,,FALSE
HTLD,33.2293,3.4152,9.913,-1.7168,11.11,9.9207,1.4243,6.2133,3.4152,0,TRUE
VVI,17.4945,1.6758,0.836,5.7526,3.32,,0.8101,2.7102,1.6736,1.6741,FALSE
SWK,14.758,2.4007,1.382,6.6345,2.2,30.0335,0.6283,3.72,2.3349,2.2221,FALSE
ICUI,27.4653,2.4276,1.6,3.0222,1.77,0,10.2127,26.0817,2.4111,0,FALSE
PSA,38.3723,7.8733,0,3.136,2.45,96.935,,,7.8839,0.1917,FALSE
IDTI,16.0924,3.8907,0.543,8.0012,1.35,0,3.8478,3.2082,3.8473,1.5564,TRUE
CAL,12.0971,1.7864,0,7.0468,3.88,9.2953,0.6238,4.9357,1.7864,1.0965,FALSE
GT,9.1708,1.8697,0.999,9.5428,2.76,26.7911,0.7049,1.9349,1.87,2.5594,FALSE
IDXX,32.4597,0,3.273,2.1314,6.02,0,0.6197,3.4131,-74.0576,3.1721,FALSE
STI,9.6375,0.7586,0.798,19.5072,1.09,26.3383,,,0.7599,,FALSE
TILE,14.009,2.9841,0,9.576,2.42,18.0397,1.3464,4.4784,2.9909,1.4788,FALSE
SVU,5.3102,0,1.318,28.6903,3.77,0,0.3466,4.2668,-2.4356,3.5293,FALSE
DIN,14.283,5.696,0,8.4552,9.74,64.253,0.9516,2.2061,5.7263,5.3674,FALSE
SYY,23.7327,6.1256,2.371,4.3787,3.28,64.5132,1.0198,7.0139,6.1038,2.2759,FALSE
IIVI,17.2971,1.6282,0,8.362,2.89,0,2.3328,5.3376,1.6292,1.0619,FALSE
TE,25.0751,2.5158,3.914,-2.2298,2.21,102.9706,0.254,1.1074,2.515,4.4911,TRUE
INDB,15.7091,1.4743,0,6.988,11.89,35.0649,,,1.4743,,FALSE
TER,19.2507,1.8408,0.961,8.6007,2.32,,2.5578,5.756,1.8578,0,FALSE
AEGN,14.2063,1.0678,1.201,16.552,4.98,,1.3774,6.6122,1.0735,5.5764,FALSE
TSO,5.5712,1.6861,1.989,12.1268,1.46,109.2593,0.6747,3.9246,1.7002,1.1368,FALSE
TXN,17.0063,5.1529,1.765,7.1199,3.66,46.8447,1.7155,9.3682,5.169,0.762,FALSE
GFF,18.3584,1.5501,1.552,-2.4442,9.1,26.5356,0.9119,2.7482,1.5501,5.2594,FALSE
TXT,12.812,1.7694,1.216,7.6035,1.46,2.4425,0.5256,2.5454,1.7658,2.2548,FALSE
IVC,0,1.023,0,-2.7845,7.7,,0.7822,4.3613,1.0226,4.5151,FALSE
TMO,24.3423,2.3294,1.516,4.8204,2.18,9.8837,0.7226,5.9737,2.3263,3.1127,FALSE
IPAR,26.3061,2.1887,1.174,5.7432,5.56,216.8671,2.7074,5.1853,2.1864,1.403,FALSE
TIF,16.2191,2.7077,1.735,7.0397,2.91,56.5275,1.3149,4.6383,2.7378,1.076,FALSE
ITG,13.2284,1.2399,0,6.579,3.72,31.2255,1.4975,,1.2582,6.3257,FALSE
BCO,26.0815,4.5008,0,7.4414,5.44,,1.0539,2.2254,4.5008,2.1908,FALSE
TJX,20.8533,10.8269,1.8,4.3571,2.65,23.9315,0.5067,8.1976,10.8269,0.3802,FALSE
JJSF,26.7598,3.2605,3.219,2.4721,3.62,21.2587,0.6991,13.4155,3.2621,0.3758,FALSE
ITRI,86.177,2.0596,1.234,2.2691,11.3,0,1.0238,,2.0596,2.4901,FALSE
TMK,12.4464,1.5422,1.619,16.9784,3.68,12.3933,,,1.5543,,FALSE
TSS,21.0264,3.8192,1.474,7.7546,1.78,22.5231,2.0755,7.2282,3.8445,1.8141,TRUE
TYC,14.1144,3.666,1.482,2.6288,1.76,120.7222,0.6291,4.0609,3.67,1.7502,TRUE
KEX,12.9484,1.2533,30.234,7.5364,6.23,0,0.8201,2.6678,1.26,1.342,FALSE
UNP,14.3268,3.1635,1.715,4.0201,2.12,41.8084,0.8568,2.4283,3.1531,1.4111,FALSE
VIVO,22.3333,4.8461,1.36,4.28,16.02,94.3371,5.1512,32.6245,4.8469,0,FALSE
UNH,18.7937,3.1314,1.083,7.683,3.74,39.6962,0.453,4.7684,3.1238,2.5243,FALSE
KLIC,18.8716,1.0459,1.673,4.9027,0.73,,8.3662,5.3376,1.0438,0,FALSE
UNM,7.1949,0.7277,0.765,19.9564,0.95,19.9027,,,0.7354,,FALSE
KOPN,0,1.2425,0,-15.4961,11.14,,8.6193,7.3539,1.2909,,TRUE
MRO,0,0.266,0,-38.7842,1.82,,1.2337,0.7776,0.2661,60.1405,FALSE
X,0,0.4408,0,-13.1471,6.08,,0.7537,0.9804,0.4407,,FALSE
LANC,25.6574,5.7341,1.999,4.0422,4.54,437.7701,1.9409,21.4742,5.7341,0,FALSE
VAR,17.8378,4.4154,1.074,5.0008,8.61,0,1.0836,4.7381,4.3926,1.2014,FALSE
VTR,30.1387,1.7507,0,-8.9996,4.07,197.7455,,4.4472,1.7435,6.1909,FALSE
LDR,17.4591,21.8126,0.992,6.3654,26.15,71.4109,1.1417,2.381,21.5256,3.5625,FALSE
VFC,18.3676,4.4889,1.52,3.6993,3.34,50.4634,1.1666,6.88,4.4857,0.9646,FALSE
LNN,32.3634,2.7894,2.804,4.3052,30.62,45.3992,2.2804,5.1696,2.7778,1.738,FALSE
VNO,24.1694,2.7981,9.666,-3.9486,2.62,51.9231,,,2.7975,8.8913,FALSE
VMC,53.2168,2.721,0.813,1.7588,1.62,14.2789,1.9275,3.8217,2.724,2.4017,FALSE
PRA,18.4514,1.3059,0,3.8589,2.27,199.1764,,,1.3069,,FALSE
SPXC,0,1.0983,0,-25.6275,2.43,,0.7153,-1.0138,1.0821,12.0971,FALSE
GHC,18.0625,1.0914,0,-2.3185,1.85,29.7581,2.327,2.991,1.0983,2.5268,FALSE
WY,21.7841,2.8052,3.223,4.8951,3.22,268.5835,1.7131,2.1589,2.8052,3.8641,FALSE
MEI,10.333,2.1231,0.707,7.3299,5.47,16.5451,3.1552,8.7123,2.1917,0.1695,TRUE
WHR,11.4405,2.2248,0.563,5.0525,3.05,39.05,0.4264,2.5661,2.2593,0.4705,FALSE
MMSI,24.5336,1.5272,0.984,2.6211,7.74,0,0.8471,4.0148,1.5249,2.7675,FALSE
WMB,11.5036,1.4595,0,-5.4812,1.04,,0.04,0.1912,1.461,12.4679,FALSE
MSA,19.4258,2.988,0.827,1.2452,8.93,57.6056,1.3449,3.4276,2.9857,2.9957,FALSE
WEC,21.1747,2.0933,3.606,0.9325,4.96,80.9939,0.3981,1.0579,2.0933,5.658,TRUE
MNRO,31.4596,3.8611,0,4.0523,13.66,31.8287,0.0536,5.8718,3.8633,1.9158,TRUE
XRX,10.8341,0.9725,0.791,14.9995,1.92,24.876,0.9705,2.4555,0.9721,4.0147,FALSE
MOG/A,11.4817,1.5178,1.915,11.9152,2.49,0,1.0835,2.9094,1.4775,3.6738,FALSE
ADBE,62.0957,5.2507,1.168,3.4873,0.95,0,2.1053,2.9551,5.2562,1.5349,FALSE
RT,0,0.6527,0,1.271,6.16,0,0.5692,,0.6527,1.3902,FALSE
AES,8.1682,2.0138,1.812,-2.4659,2.15,,0.6071,0.5742,2.032,5.4554,TRUE
DPZ,29.784,0,1.871,3.9879,6.76,26.3529,0.7049,2.995,-3.2061,5.1174,TRUE
MCS,18.0069,1.4089,1.428,1.8892,3.52,58.6599,0.1707,2.0574,1.4093,2.7779,FALSE
AMGN,15.6243,3.8437,1.515,7.8188,2.43,33.3333,3.9664,3.5013,3.8654,2.9832,FALSE
MCY,21.0218,1.4854,1.797,3.6126,8.49,146.1298,,,1.4854,,FALSE
AAPL,10.1295,4.1061,0.717,11.7694,1.27,15.7835,0.6706,4.3244,4.1061,0.7605,FALSE
MSCC,27.7783,2.3514,0.531,8.6208,3.24,0,1.8481,4.4102,2.7586,3.672,FALSE
ADSK,0,5.9079,0,3.5486,3.34,,2.0185,3.3003,5.9322,8.7106,FALSE
MTRX,9.9704,1.4308,0.766,0.075,2.61,0,1.8256,5.0314,1.4313,0.155,FALSE
MTSC,17.137,2.9746,0.981,10.1943,6.39,37.8656,0.8161,5.692,2.967,0.5109,FALSE
CTAS,22.8508,4.6897,1.599,3.4859,7.7,100.1321,1.0803,5.6044,4.6909,1.4525,FALSE
MYE,19.3473,3.2814,0.876,4.5854,9.13,0,0.7275,2.6125,3.3502,2.9315,FALSE
CMCSA,17.8789,2.72,1.317,6.9553,1.62,31.1517,0.5114,3.1756,2.72,2.1323,FALSE
TUES,43.6154,1.0751,0,-7.6985,8.09,0,0.2966,,1.0743,0,TRUE
TAP,24.1241,2.3102,1.031,2.7184,1.32,226.482,0.6891,3.6475,2.5585,4.4211,FALSE
NANO,67.3794,1.7302,1.688,-0.1102,6.19,,2.6745,5.9343,1.7277,0,FALSE
PKG,10.9482,2.9325,1.666,9.3165,1.41,50.6232,1.4606,3.4739,2.9821,2.0928,FALSE
NAVG,16.1678,1.1113,1.646,18.4132,3.42,0,,,1.1101,,FALSE
KLAC,17.8269,27.2309,1.167,8.0732,0.74,53.0856,3.109,3.6006,27.2309,3.6866,FALSE
NBTB,14.9478,1.2571,0,10.3665,7.82,50.1699,,,1.2531,,FALSE
MKC,25.4461,6.7255,3.349,4.0892,7.12,34.2627,0.4578,5.3513,6.7137,2.1331,FALSE
CMO,9.4388,0.8099,0.934,27.6465,2.12,58.515,,,0.8099,2.0927,FALSE
NDSN,16.8242,5.1747,0.953,6.4947,7.97,28.984,1.5126,5.0999,5.1742,2.954,FALSE
NEOG,51.2186,4.7781,2.591,1.5866,10.6,33.1722,5.7842,4.9796,4.7781,0,TRUE
GCO,14.3921,1.4522,0,0,6.25,0,0.2538,4.8326,1.4521,0,FALSE
JWN,15.0719,10.0275,1.753,14.8045,6.08,1206.4,0.5616,3.1813,10.6268,0.4863,FALSE
NEWP,16.0218,1.5198,0,5.6597,3.91,0,1.5253,3.4572,1.5178,1.0214,TRUE
TCB,10.1667,0.9197,1.264,17.0109,1.88,26.1935,,,0.9183,,FALSE
NNN,35.9667,2.2671,6.71,-5.7277,6.05,177.4464,,,2.1892,4.6662,FALSE
PCAR,11.0362,2.5227,1.596,4.7017,6.42,166.8341,0.7597,,2.5382,2.656,FALSE
NPBC,13.7227,1.3154,0,7.9275,2.16,53.4974,,,1.3154,,TRUE
BXS,13.7967,1.1188,0,5.4482,4.94,44.4572,,,1.1168,,FALSE
NVR,17.1931,4.8674,0.654,3.052,3.01,0,0.7718,6.2496,4.8946,0.9253,FALSE
COST,28.3883,5.9975,2.919,2.1747,2.09,36.5285,0.4178,,5.9975,1.2856,FALSE
NWN,23.1936,1.8666,5.972,5.0537,6.45,43.2835,0.2712,0.8555,1.8628,1.0432,FALSE
CBSH,16.1629,1.8061,2.035,6.3451,10.17,34.0384,,,1.8105,,FALSE
ODFL,17.0868,3.0565,1.456,1.7701,4.33,0,1.1281,6.6423,3.0628,0.2016,FALSE
STJ,14.1634,3.5379,1.134,5.9909,2.06,72.5,0.7699,4.0831,3.528,4.6862,FALSE
BRS,12.1328,0.3365,0.41,-58.1425,2.6,370.9731,0.9826,1.2785,0.3365,7.1541,FALSE
SYK,20.9631,4.2353,1.339,1.7306,4.48,27.2479,1.6389,5.7352,4.2639,1.7812,FALSE
TSN,16.8777,2.2627,1.447,8.3907,2.98,17.1367,0.7364,5.9521,2.4616,2.1326,TRUE
CUZ,13.7895,1.0253,0,-1.8762,4.88,30.1414,,,1.0406,3.5409,TRUE
TRMK,12.6784,0.9943,0,10.8646,9.76,55.7769,,,0.9951,,TRUE
PEI,131.6387,2.7662,0,-22.8784,8.2,,,,2.7659,22.1303,TRUE
AMAT,13.8722,2.5403,0.846,5.5711,1.34,35.1786,1.7651,3.5538,2.5625,2.2006,TRUE
PDCE,26.9434,1.43,3.463,-19.8647,5.21,40.2098,2.055,4.2145,1.4283,1.7021,FALSE
UMBF,17.9735,1.2304,0.992,7.0368,5.27,40.0061,,,1.2279,,FALSE
TWX,13.2911,2.1276,0.92,6.6515,1.91,32.6027,1.1955,-3.4214,2.1396,3.1568,FALSE
AGYS,0,1.8936,0,-3.3294,11.1,,1.6641,5.0732,1.8956,,FALSE
BBBY,8.6766,2.7843,1.385,10.9657,6.68,0,0.2238,4.4455,2.7843,0.881,FALSE
PKY,0,0.9751,0,-3.5233,5.42,241.185,,,0.9751,4.6592,FALSE
VLY,15.8191,1.076,0,5.8644,5.86,917.9416,,,1.0473,,TRUE
NEU,16.5742,10.0162,0,3.5575,9.12,35.5556,1.4464,6.5228,10.0479,1.2396,FALSE
CAH,18.3231,3.7691,1.096,10.0747,2.57,39.0561,0.4928,5.9467,3.7614,1.9258,FALSE
CELG,44.5045,13.3559,0.829,2.7612,1.44,0,4.0494,4.2934,13.3398,5.3503,FALSE
PLXS,13.603,1.3482,0,13.0317,6.99,0,1.3789,3.4936,1.3522,1.6812,FALSE
WABC,19.3586,2.1359,3.842,5.7937,13.95,68.2941,,,2.136,,FALSE
CERN,29.4685,4.7969,1.335,3.182,8.86,0,1.9388,3.5263,4.7474,0.4907,FALSE
POWL,31.3457,0.9662,3.794,14.4081,2.5,,1.1548,4.3134,0.9022,0.0711,FALSE
CINF,17.2453,1.5617,0,10.4891,2.58,96.8421,,,1.5613,,TRUE
EAT,14.383,0,0.929,8.7662,4.51,39.2083,0.3541,3.0859,-16.1107,2.4413,FALSE
TCBI,11.1409,0.9166,1.29,4.2912,5.07,0,,,0.916,,TRUE
CVC,42.7068,0,2.877,5.1811,3.43,0,0.7882,0.6116,-1.7816,5.6219,TRUE
PSB,34.7857,3.2003,0,8.1032,4.65,108.7696,,,3.1979,1.0466,FALSE
CDNS,23.559,4.4561,1.704,5.8192,3.22,0,1.5257,5.6874,4.2848,0.8642,TRUE
CRS,20.5111,1.0424,0.72,16.9306,5.38,77.3913,0.8634,5.6104,1.0255,3.0432,FALSE
PACW,11.0759,0.8951,1.11,11.384,4.77,83.8021,,,0.8861,,FALSE
DHI,11.0028,1.4669,0.726,8.6391,2.35,18.7343,0.9162,3.9841,1.467,2.8513,FALSE
KWR,16.1688,2.6406,0,6.3364,6.89,37.8436,2.1625,5.0577,2.644,0.9075,FALSE
CY,0,0.8066,0.602,-1.5723,5.46,,0.9847,-0.6558,0.8104,,TRUE
FLS,13.8415,3.0668,1.993,4.5974,5.51,32.9334,0.9962,3.4597,3.109,2.4994,FALSE
QSII,21.4205,2.8883,1.392,4.9416,3.99,145.8741,1.5058,6.9653,2.8883,0,FALSE
DV,7.3983,0.7395,0.903,9.124,9.38,,1.0401,5.8137,0.7382,0,FALSE
TYL,68.0015,5.6378,1.847,1.7007,2.98,0,0.6602,10.7099,5.5306,0.5172,FALSE
EA,28.2437,5.9813,1.54,5.1368,3.07,,1.2242,5.7399,5.968,0.3447,FALSE
RBC,9.4605,1.1652,0.871,12.7779,2.86,,1.1666,3.2812,1.1642,4.1773,FALSE
UHS,15.687,2.4407,1.364,6.1519,1.97,5.6423,1.2392,4.6806,2.4486,2.0958,FALSE
ESRX,16.8332,2.6168,0.848,9.9841,4.96,0,0.5775,8.635,2.6144,2.3278,FALSE
AGCO,14.2945,1.3696,2.113,8.1296,8.96,16.3865,0.5782,3.3086,1.3975,1.9881,FALSE
EXPD,19.3745,4.9391,2.02,5.9905,7.83,58.2268,2.2291,10.4912,5.057,0,FALSE
RGS,0,1.1922,0,5.422,9.96,,0.7706,4.7083,1.1787,1.7278,FALSE
SWKS,12.6055,3.1744,0.557,4.8541,2.45,13.933,4.7861,20.4119,3.1756,0,FALSE
FAST,24.5907,6.9707,1.723,3.0967,9.47,72.4599,1.6009,13.9129,6.9424,0.3988,FALSE
OFC,54.184,1.4902,0,-14.3546,2.07,,,,1.4903,7.9205,FALSE
MTB,14.1222,1.1485,3.374,11.2888,4.39,42.3357,,,1.2792,,FALSE
UEIC,23.0473,2.6975,0.855,-2.5754,7.37,0,0.796,3.9682,2.7252,0.887,FALSE
ATVI,23.9213,2.6228,1.204,5.131,0.91,0,0.9613,3.2842,2.611,2.2486,TRUE
FISV,27.7514,7.8,1.554,4.5709,2.71,0,0.717,7.1289,7.9121,2.4844,TRUE
FITB,8.1751,0.7351,2.233,18.3719,2.11,16.2162,,,0.7437,,TRUE
ROG,13.9496,1.3568,0.793,6.0903,9.04,0,3.8677,4.4558,1.3553,1.6261,FALSE
